,accuracy,val_accuracy,loss,val_loss
0,0.3349875807762146,0.5663551688194275,1.5655466318130493,1.1241148710250854
1,0.46215879917144775,0.7121495604515076,1.1939537525177002,0.9332131147384644
2,0.5700992345809937,0.7831775546073914,1.03173828125,0.8005396127700806
3,0.6277915835380554,0.8242990374565125,0.9146342873573303,0.6762665510177612
4,0.6612903475761414,0.8467289805412292,0.8387504816055298,0.5960392951965332
5,0.7152605652809143,0.8523364663124084,0.726523220539093,0.5352864861488342
6,0.7158808708190918,0.8859813213348389,0.7102901339530945,0.46303051710128784
7,0.7599255442619324,0.9065420627593994,0.6452381610870361,0.4307664632797241
8,0.772332489490509,0.895327091217041,0.613701581954956,0.44633421301841736
9,0.7859801650047302,0.8971962332725525,0.5816774964332581,0.4033505320549011
10,0.8045905828475952,0.8971962332725525,0.5507786273956299,0.3940899968147278
11,0.8151364922523499,0.9158878326416016,0.5160797238349915,0.3631768524646759
12,0.807692289352417,0.9177570343017578,0.4953122138977051,0.33580195903778076
13,0.8356079459190369,0.9401869177818298,0.4677814245223999,0.3000599145889282
14,0.8418114185333252,0.9420560598373413,0.43988466262817383,0.3073294460773468
15,0.8498759269714355,0.9551401734352112,0.4156670868396759,0.2649160623550415
16,0.8473945260047913,0.9439252614974976,0.41831111907958984,0.26735687255859375
17,0.8666253089904785,0.9289719462394714,0.38202741742134094,0.28262844681739807
18,0.8703473806381226,0.9401869177818298,0.37822169065475464,0.26819154620170593
19,0.8746898174285889,0.9364485740661621,0.3736533224582672,0.2657443881034851
20,0.5992555618286133,0.9364485740661621,1.0127052068710327,0.2435816377401352
21,0.7102977633476257,0.9383177757263184,0.7221270799636841,0.22602902352809906
22,0.7766749262809753,0.9233644604682922,0.5758008360862732,0.23333872854709625
23,0.8145161271095276,0.895327091217041,0.4993627667427063,0.2559727430343628
24,0.8418114185333252,0.9102803468704224,0.4450136125087738,0.2460932582616806
25,0.8368486166000366,0.9046729207038879,0.4186840057373047,0.25231218338012695
26,0.8833746910095215,0.9121495485305786,0.3488076329231262,0.24160923063755035
27,0.8908188343048096,0.9233644604682922,0.32362595200538635,0.22054560482501984
28,0.9026054739952087,0.9158878326416016,0.3029651939868927,0.23106147348880768
29,0.9131513833999634,0.9233644604682922,0.2673949897289276,0.2270526885986328
