,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.32635658979415894,1.6763461828231812,0.4751552939414978,1.1045118570327759,0.0010000000474974513
1,0.43798449635505676,1.3209456205368042,0.590062141418457,0.9409539699554443,0.0010000000474974513
2,0.4767441749572754,1.2488764524459839,0.6428571343421936,0.9103077054023743,0.0010000000474974513
3,0.5449612140655518,1.1952813863754272,0.6894409656524658,0.8985577821731567,0.0010000000474974513
4,0.5542635917663574,1.1186416149139404,0.6242235898971558,0.8563974499702454,0.0010000000474974513
5,0.6054263710975647,1.0647574663162231,0.6304348111152649,0.8354879021644592,0.0010000000474974513
6,0.6093023419380188,1.0053086280822754,0.739130437374115,0.7397618293762207,0.0010000000474974513
7,0.6395348906517029,0.9749345183372498,0.611801266670227,0.8335311412811279,0.0010000000474974513
8,0.6472868323326111,0.9364263415336609,0.6832298040390015,0.7476270198822021,0.0010000000474974513
9,0.6558139324188232,0.9091904759407043,0.7142857313156128,0.7030998468399048,0.00010000000474974513
10,0.6511628031730652,0.90753173828125,0.760869562625885,0.6792479753494263,0.00010000000474974513
11,0.6736434102058411,0.8856152892112732,0.7204968929290771,0.6954888105392456,0.00010000000474974513
12,0.6728681921958923,0.8677319884300232,0.7453415989875793,0.6311636567115784,0.00010000000474974513
13,0.6968992352485657,0.8071762323379517,0.7422360181808472,0.6282535195350647,0.00010000000474974513
14,0.6860465407371521,0.834897518157959,0.7422360181808472,0.6596558690071106,0.00010000000474974513
15,0.6937984228134155,0.8353332281112671,0.782608687877655,0.613793671131134,0.00010000000474974513
16,0.7023255825042725,0.8093758225440979,0.7857142686843872,0.6419796943664551,0.00010000000474974513
17,0.7007752060890198,0.7903135418891907,0.739130437374115,0.6316971778869629,0.00010000000474974513
18,0.6968992352485657,0.8011239767074585,0.7267080545425415,0.6391652226448059,1.0000000656873453e-05
19,0.7186046242713928,0.7897248864173889,0.7422360181808472,0.6554997563362122,1.0000000656873453e-05
20,0.7178294658660889,0.7624149918556213,0.7453415989875793,0.615991473197937,1.0000001111620804e-06
21,0.7162790894508362,0.8050570487976074,0.7236024737358093,0.6670830845832825,1.0000001111620804e-06
22,0.6961240172386169,0.797766387462616,0.7204968929290771,0.663508951663971,1.000000082740371e-07
23,0.695348858833313,0.8049760460853577,0.739130437374115,0.6310875415802002,1.000000082740371e-07
24,0.7062015533447266,0.7620240449905396,0.7360248565673828,0.6536741852760315,1.000000082740371e-08
25,0.7116279006004333,0.8060954809188843,0.7546584010124207,0.6395244002342224,1.000000082740371e-08
26,0.7116279006004333,0.7908169031143188,0.7329192757606506,0.6428695917129517,1.000000082740371e-09
27,0.7100775241851807,0.759378969669342,0.7267080545425415,0.6607078909873962,1.000000082740371e-09
28,0.7038759589195251,0.7850756645202637,0.7453415989875793,0.6224098205566406,1.000000082740371e-10
29,0.7108527421951294,0.7740925550460815,0.7267080545425415,0.6660534143447876,1.000000082740371e-10
