,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.27441859245300293,5.38889217376709,0.4751552939414978,1.3701752424240112,0.0010000000474974513
1,0.30930233001708984,1.4754031896591187,0.3602484464645386,1.3466863632202148,0.0010000000474974513
2,0.3759689927101135,1.4022706747055054,0.4503105580806732,1.216569185256958,0.0010000000474974513
3,0.45736435055732727,1.3203306198120117,0.5,1.1291139125823975,0.0010000000474974513
4,0.5116279125213623,1.2143971920013428,0.6242235898971558,0.9876635074615479,0.0010000000474974513
5,0.5364341139793396,1.1884132623672485,0.6242235898971558,0.9714384078979492,0.0010000000474974513
6,0.49147287011146545,1.1882812976837158,0.7049689292907715,0.8500682711601257,0.0010000000474974513
7,0.5868217349052429,1.0458593368530273,0.5683229565620422,0.952720046043396,0.0010000000474974513
8,0.5821705460548401,1.0271635055541992,0.7236024737358093,0.8396384716033936,0.0010000000474974513
9,0.6015504002571106,1.0196834802627563,0.54347825050354,0.9959238171577454,0.0010000000474974513
10,0.6139534711837769,0.9879849553108215,0.5496894121170044,0.9592599868774414,0.0010000000474974513
11,0.6387596726417542,0.9153107404708862,0.6086956262588501,0.7585108280181885,0.00010000000474974513
12,0.6930232644081116,0.8371058702468872,0.6832298040390015,0.6641997694969177,0.00010000000474974513
13,0.7031008005142212,0.8029765486717224,0.6739130616188049,0.7136629223823547,0.00010000000474974513
14,0.7077519297599792,0.7893738150596619,0.739130437374115,0.6338919401168823,0.00010000000474974513
15,0.7248061895370483,0.7416974902153015,0.7888198494911194,0.6077591776847839,0.00010000000474974513
16,0.7031008005142212,0.7582177519798279,0.7701863646507263,0.6033780574798584,0.00010000000474974513
17,0.7271317839622498,0.7560585737228394,0.7670807242393494,0.5791738033294678,0.00010000000474974513
18,0.7186046242713928,0.7066783905029297,0.8105590343475342,0.5506072640419006,0.00010000000474974513
19,0.7387596964836121,0.6838163137435913,0.7577639818191528,0.5696853995323181,0.00010000000474974513
20,0.748062014579773,0.6615651249885559,0.7888198494911194,0.5640023946762085,0.00010000000474974513
21,0.7643410563468933,0.6630228757858276,0.782608687877655,0.5264601707458496,1.0000000656873453e-05
22,0.7767441868782043,0.6250659823417664,0.7888198494911194,0.5273130536079407,1.0000000656873453e-05
23,0.7666666507720947,0.6367571949958801,0.7795031070709229,0.5397084355354309,1.0000000656873453e-05
24,0.7635658979415894,0.6300050020217896,0.782608687877655,0.5610702037811279,1.0000001111620804e-06
25,0.7821705341339111,0.6226128339767456,0.7795031070709229,0.5294211506843567,1.0000001111620804e-06
26,0.7759689688682556,0.6304461359977722,0.7919254899024963,0.5291692614555359,1.000000082740371e-07
27,0.7720929980278015,0.6557689309120178,0.7732919454574585,0.5588375329971313,1.000000082740371e-07
28,0.7589147090911865,0.6369516253471375,0.7763975262641907,0.5536470413208008,1.000000082740371e-08
29,0.7643410563468933,0.6404683589935303,0.7515528202056885,0.5526151657104492,1.000000082740371e-08
