,loss,accuracy,val_loss,val_accuracy,lr
0,1.8402754068374634,0.37441861629486084,1.0934655666351318,0.5093167424201965,0.001
1,1.2507619857788086,0.4906976819038391,1.0913114547729492,0.4968944191932678,0.001
2,1.1815444231033325,0.5178294777870178,0.9720057845115662,0.5652173757553101,0.001
3,1.1233198642730713,0.5666666626930237,0.7765557169914246,0.6894409656524658,0.001
4,1.0461890697479248,0.5968992114067078,0.7704052925109863,0.7236024737358093,0.001
5,1.029693603515625,0.6116279363632202,0.7779523730278015,0.6925466060638428,0.001
6,0.9750240445137024,0.630232572555542,0.8015007972717285,0.6708074808120728,0.001
7,0.9295945763587952,0.6511628031730652,0.6948310136795044,0.7453415989875793,0.000100000005
8,0.8873904347419739,0.669767439365387,0.6742603182792664,0.7670807242393494,0.000100000005
9,0.8634592294692993,0.682945728302002,0.6106181740760803,0.7950310707092285,0.000100000005
10,0.797391414642334,0.726356565952301,0.5707544088363647,0.7857142686843872,0.000100000005
11,0.7662218809127808,0.7155038714408875,0.5495343804359436,0.8198757767677307,0.000100000005
12,0.6819935441017151,0.7496123909950256,0.5655173659324646,0.7639751434326172,0.000100000005
13,0.672636091709137,0.7410852909088135,0.5128824710845947,0.8229813575744629,0.000100000005
14,0.6254363059997559,0.7744185924530029,0.5183765292167664,0.804347813129425,0.000100000005
15,0.5959073305130005,0.7937984466552734,0.5350000262260437,0.7639751434326172,0.000100000005
16,0.5589898228645325,0.7937984466552734,0.514268159866333,0.8167701959609985,1.0000001e-05
17,0.5413845181465149,0.7992247939109802,0.4552226960659027,0.8416149020195007,1.0000001e-05
18,0.5309655070304871,0.8077519536018372,0.469367653131485,0.8229813575744629,1.0000001e-05
19,0.5317779183387756,0.8085271120071411,0.46500226855278015,0.8447204828262329,1.0000001e-05
20,0.5173425674438477,0.8100775480270386,0.4378776252269745,0.8260869383811951,1.0000001e-06
21,0.49227526783943176,0.8100775480270386,0.4646550416946411,0.8354037404060364,1.0000001e-06
22,0.536346435546875,0.7968991994857788,0.4680536389350891,0.8012422323226929,1.0000001e-06
23,0.508230447769165,0.8069767355918884,0.5055522918701172,0.7763975262641907,1.0000001e-07
24,0.513759434223175,0.8054263591766357,0.4511339068412781,0.8291925191879272,1.0000001e-07
25,0.5010863542556763,0.8186046481132507,0.4755290150642395,0.8229813575744629,1.0000001e-08
26,0.5356690883636475,0.7937984466552734,0.47120344638824463,0.8105590343475342,1.0000001e-08
27,0.5211414694786072,0.8093023300170898,0.4475227892398834,0.850931704044342,1.0000001e-09
28,0.5040069818496704,0.817829430103302,0.4248095750808716,0.8540372848510742,1.0000001e-09
29,0.538981556892395,0.7992247939109802,0.4742817282676697,0.8105590343475342,1.0000001e-09
