,precision,recall,f1-score,support
Face,0.9084507042253521,1.0,0.9520295202952029,129.0
Hand to face,0.7222222222222222,0.8455284552845529,0.7790262172284644,123.0
Legs,0.8296296296296296,0.835820895522388,0.8327137546468402,134.0
Thumb,0.8245614035087719,0.6308724832214765,0.714828897338403,149.0
accuracy,0.8205607476635514,0.8205607476635514,0.8205607476635514,0.8205607476635514
macro avg,0.8212159898964939,0.8280554585071043,0.8196495973772276,535.0
weighted avg,0.8225298947132358,0.8205607476635514,0.8163087507724877,535.0
